// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 0080021020
//  ProductCode: MTi-680G-8A1G6
//  Firmware Version: 1.2.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: General_RTK(24.1)
//  Option Flags: Orientation Smoother Enabled, Position/Velocity Smoother Enabled, Continuous Zero Rotation Update Enabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
// PacketCounter,SampleTimeFine,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
35383,11729314,619376043,2020,11,10,7,36,14,0,1.993622,0.418507,9.801167,0.013290,-0.017770,-0.061274,1.124566,-2.538972,127.051628,31.314240123,121.238792914,15.748516,-2.113299,2.204874,-0.006693
35384,11729414,629376043,2020,11,10,7,36,14,0,1.816154,0.496551,9.569344,-0.020884,0.017256,-0.051503,1.117325,-2.533472,127.019066,31.314240318,121.238792693,15.748709,-2.125665,2.213594,-0.005803
35385,11729514,639376043,2020,11,10,7,36,14,0,1.697885,0.698130,10.065845,-0.010787,0.007395,-0.051031,1.115631,-2.522186,126.989517,31.314240515,121.238792472,15.748887,-2.136042,2.221419,-0.004791
35386,11729614,649377043,2020,11,10,7,36,14,0,2.048204,0.039605,9.571065,-0.022060,-0.021069,-0.052592,1.101046,-2.531543,126.958344,31.314240712,121.238792249,15.749080,-2.145121,2.232524,-0.003748
35387,11729714,659377043,2020,11,10,7,36,14,0,1.737650,-0.416821,9.820593,-0.012721,0.033397,-0.062266,1.092573,-2.520666,126.927185,31.314240910,121.238792026,15.749297,-2.150048,2.247406,-0.003768
35388,11729814,669377043,2020,11,10,7,36,14,0,1.854704,-0.495949,9.704829,0.007618,-0.001782,-0.059761,1.092118,-2.511960,126.891693,31.314241109,121.238791802,15.749520,-2.152553,2.261489,-0.003619
35389,11729914,679377043,2020,11,10,7,36,14,0,2.014189,0.454925,9.988276,0.014412,0.001592,-0.065598,1.105755,-2.513130,126.852203,31.314241310,121.238791578,15.749715,-2.161023,2.274818,-0.000938
35390,11730014,689377043,2020,11,10,7,36,14,0,1.882179,0.632736,9.611043,0.017975,0.012977,-0.054544,1.113341,-2.507479,126.818146,31.314241512,121.238791353,15.749933,-2.172855,2.284865,-0.001094
35391,11730114,699377043,2020,11,10,7,36,14,0,1.879574,0.683164,9.567648,-0.018689,-0.015533,-0.049295,1.114159,-2.504796,126.786415,31.314241714,121.238791127,15.750157,-2.185685,2.292548,-0.001170
35392,11730214,709377043,2020,11,10,7,36,14,0,2.298450,-0.037772,9.370077,-0.000335,0.006350,-0.054111,1.108568,-2.510877,126.758942,31.314241918,121.238790899,15.750382,-2.195134,2.307321,-0.004809
35393,11730314,719377043,2020,11,10,7,36,14,0,1.876602,-0.486316,9.632558,-0.012018,0.027328,-0.058730,1.102471,-2.491575,126.724709,31.314242123,121.238790670,15.750562,-2.201479,2.322632,-0.005608
35394,11730414,729377043,2020,11,10,7,36,14,0,2.158928,-0.031928,9.906615,0.017341,-0.006545,-0.061068,1.111948,-2.491495,126.688072,31.314242329,121.238790442,15.750670,-2.207429,2.338823,-0.004967
35395,11730514,739377043,2020,11,10,7,36,14,0,2.001854,0.160650,9.363806,0.022731,-0.010122,-0.065981,1.121680,-2.493485,126.651123,31.314242537,121.238790212,15.750852,-2.215420,2.352169,-0.006071
35396,11730614,749377043,2020,11,10,7,36,14,0,2.295956,0.888242,9.529442,0.002783,-0.008339,-0.053094,1.135055,-2.499105,126.613571,31.314242746,121.238789981,15.750943,-2.230568,2.363803,-0.007875
35397,11730714,759377043,2020,11,10,7,36,14,0,2.264993,0.374169,9.394899,0.000446,-0.001609,-0.047860,1.133651,-2.497213,126.587395,31.314242956,121.238789748,15.751057,-2.243377,2.376513,-0.011041
35398,11730814,769377043,2020,11,10,7,36,14,0,1.973151,-0.198197,9.534456,-0.014648,0.026005,-0.046656,1.127282,-2.485828,126.559402,31.314243167,121.238789515,15.751126,-2.252785,2.390303,-0.013168
35399,11730914,779377043,2020,11,10,7,36,14,0,2.425846,-0.006834,9.763920,0.003498,-0.029629,-0.050293,1.130732,-2.491905,126.528488,31.314243380,121.238789280,15.751206,-2.260575,2.407084,-0.012336
35400,11731014,789377043,2020,11,10,7,36,14,0,2.307542,-0.289958,9.482328,0.022218,-0.008324,-0.066927,1.133857,-2.499694,126.494255,31.314243594,121.238789045,15.751320,-2.267858,2.425246,-0.013536
35401,11731114,799377043,2020,11,10,7,36,14,0,2.190271,0.506248,9.493373,0.011700,0.002403,-0.056382,1.147320,-2.501902,126.457993,31.314243810,121.238788809,15.751379,-2.279734,2.439376,-0.015098
35402,11731214,809377043,2020,11,10,7,36,14,0,2.346080,0.927519,9.710786,0.016970,-0.018214,-0.059722,1.157313,-2.506099,126.422707,31.314244026,121.238788571,15.751392,-2.294134,2.451362,-0.016192
35403,11731314,819377043,2020,11,10,7,36,14,0,2.209830,0.318622,9.566026,-0.013423,0.016161,-0.053604,1.151383,-2.505539,126.394005,31.314244244,121.238788332,15.751433,-2.308733,2.463816,-0.016678
